type,amount,oldbalanceOrg,newbalanceOrig,isFraud,Fraud_Status
0,0.002431795,0.018398123,0.023652369,1,Fraud
0.75,0.000400809,0.0056924,0.006585953,1,Fraud
1,0.000726736,0.000383939,0,0,No Fraud
1,0.005805099,0.003066866,0,0,No Fraud
0.25,0.150521464,0.07952134,0,0,No Fraud
0.25,0.317670952,0.16782736,0,0,No Fraud
1,0.013307129,0.004891228,0,1,Fraud
0.25,0.002432795,0.001285259,0,0,No Fraud
0.25,0.00079709,1.72E-05,0,1,Fraud
0.75,0.000533695,0.002358595,0.002495445,1,Fraud
1,0.084587343,0.044687972,0,0,No Fraud
1,0.00505814,6.29E-06,0,1,Fraud
0.75,0.000707766,0.003338355,0.003562287,1,Fraud
0.25,0.02152231,0.011370358,0,0,No Fraud
0.25,0.084246149,0.044507717,0,0,No Fraud
0.75,6.09E-06,0,0,1,Fraud
0.25,0.010714651,0.005660611,0,0,No Fraud
0,0.011369781,0.000511857,0.007833202,1,Fraud
0.75,0.000266811,0.005506134,0.006447191,1,Fraud
0.75,0.000224099,0.000717104,0.000719456,1,Fraud
0,0.000413441,4.28E-05,0.00031392,1,Fraud
0.75,0.000426695,0.004200448,0.004776681,1,Fraud
0.25,0.002819286,0.001489445,0,0,No Fraud
0.75,1.66E-05,0,0,1,Fraud
0.75,0.000325745,0.006402716,0.007487176,1,Fraud
0.25,0.155510837,0.082157255,0,0,No Fraud
0.25,0.115663476,0.061105668,0,0,No Fraud
0.25,0.032237762,0.017031392,0,0,No Fraud
0.25,0.123505801,0.065248813,0,0,No Fraud
1,0.004315411,0.002279856,0,0,No Fraud
1,0.008062275,0.004259346,0,0,No Fraud
0.25,0.113495468,0.059960297,0,0,No Fraud
1,0.088189755,0.046591146,0,0,No Fraud
0.25,0.008444345,0,0,1,Fraud
0.25,0.124657327,0.065857171,0,0,No Fraud
0.75,0.000124204,0.00222913,0.002599836,1,Fraud
0.75,0.000156104,0.000386148,0.000364921,1,Fraud
0.25,0.011991296,0.000654107,0,1,Fraud
0.25,0.00479458,0.002533004,0,0,No Fraud
0.75,2.17E-05,0.002113623,0.002526108,1,Fraud
0.75,0.000287908,0.004071278,0.00470957,1,Fraud
0.25,0.01342796,0.000506436,0,1,Fraud
0.25,0.008594426,3.66E-05,0,1,Fraud
0.25,0.001156457,0,0,1,Fraud
1,0.020123166,0.010631183,0,0,No Fraud
0.75,0.001378042,2.06E-05,0,1,Fraud
0,0.011460459,0.078269567,0.101330166,1,Fraud
1,0.051914709,0.027426834,0,0,No Fraud
1,0.001743791,0.000921254,0,0,No Fraud
0.25,0.001203707,0.000872719,0.000284549,1,Fraud
1,0.07089083,0.037452026,0,0,No Fraud
1,0.003423651,0.001808734,0,0,No Fraud
1,0.005328737,0.002815202,0,0,No Fraud
1,0.027146598,0.014341701,0,0,No Fraud
0.25,0.01449184,5.31E-05,0,1,Fraud
0.75,9.83E-05,0,0,1,Fraud
0.25,0.002770698,0.001463775,0,0,No Fraud
0,0.010414869,0.00200171,0.009017293,1,Fraud
